,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
38,unitedarabemirates,সংযুক্ত আরব আমিরশাহী,3736,20,588,170,4,376,2020-04-12 06:26:20,23.907182,54.333533,world
39,serbia,সার্বিয়া,3380,74,118,0,3,275,2020-04-12 06:26:20,44.23085403442383,20.793766021728516,world
40,luxembourg,লাক্সেমবার্গ,3270,62,500,88,8,0,2020-04-12 06:26:20,49.776824951171875,6.09234094619751,world
41,panama,পানামা,3234,79,23,7,13,482,2020-04-12 06:26:20,8.531039,-80.134502,world
42,finland,ফিনল্যান্ড,2905,49,0,0,9,300,2020-04-12 06:26:20,64.51989,26.282998,world
43,dominicanrepublic,ডমিনিকান রিপাবলিক,2759,135,108,10,9,139,2020-04-12 06:26:20,18.897331,-70.499937,world
44,qatar,কাতার,2728,6,247,0,0,216,2020-04-12 06:26:20,25.285332,51.193252,world
45,colombia,কলম্বিয়া,2709,100,214,17,20,236,2020-04-12 06:26:20,3.906449,-73.075029,world
46,thailand,থাইল্যান্ড,2518,35,1135,122,2,45,2020-04-12 06:26:20,15.1306734085083,101.01778411865234,world
47,ukraine,ইউক্রেন,2511,73,79,34,16,619,2020-04-12 06:26:20,49.16029357910156,31.278121948242188,world
48,singapore,সিঙ্গাপুর,2299,8,528,36,1,191,2020-04-12 06:26:20,1.35757,103.810225,world
49,belarus,বেলারুশ,2226,23,172,33,7,740,2020-04-12 06:26:20,53.542198181152344,28.05012321472168,world
50,argentina,আর্জেন্টিনা,2142,89,440,65,7,167,2020-04-12 06:26:20,-35.181148,-65.093855,world
51,greece,গ্রীস,2081,93,269,0,3,70,2020-04-12 06:26:20,39.347443,22.571271,world
52,southafrica,দক্ষিণ আফ্রিকা,2028,25,410,0,1,25,2020-04-12 06:26:20,-29.002312,25.080323,world
53,egypt,ইজিপ্ট,1939,146,542,158,11,145,2020-04-12 06:26:20,26.578456,29.776876,world
54,algeria,আলজেরিয়া,1825,275,460,55,19,64,2020-04-12 06:26:20,28.155088,2.678749,world
55,iceland,আইসল্যান্ড,1689,7,841,90,1,14,2020-04-12 06:26:20,64.983642578125,-18.577098846435547,world
56,moldova,মলডোভা,1560,30,75,19,1,122,2020-04-12 06:26:20,47.202144622802734,28.4654483795166,world
57,morocco,মরোক্কো,1545,111,146,24,4,97,2020-04-12 06:26:20,31.841399,-6.281309,world
58,croatia,ক্রোয়েশিয়া,1534,21,323,92,0,39,2020-04-12 06:26:20,45.14006805419922,16.427303314208984,world
59,iraq,ইরাক,1318,72,601,105,3,86,2020-04-12 06:26:20,33.04443,43.775183,world
60,hungary,হাঙ্গেরি,1310,85,115,3,8,120,2020-04-12 06:26:20,47.165193,19.412044,world
61,estonia,এসটোনিয়া,1304,24,93,10,0,97,2020-04-12 06:26:20,58.68367004394531,25.838701248168945,world
62,slovenia,স্লোভেনিয়া,1188,50,148,11,5,28,2020-04-12 06:26:20,46.11955642700195,14.821760177612305,world
63,kuwait,কুয়েত,1154,1,133,22,0,244,2020-04-12 06:26:20,29.335882,47.595493,world
64,azerbaijan,আজারবাইজান,1058,11,200,99,2,132,2020-04-12 06:26:20,40.359642028808594,47.652400970458984,world
65,newzealand,নিউজিল্যান্ড,1312,4,471,98,2,0,2020-04-12 06:26:20,-43.947636,170.502872,world
66,bahrain,বাহরাইন,1040,6,555,25,1,127,2020-04-12 06:26:20,26.089246,50.562773,world
67,lithuania,লিথুয়ানিয়া,1026,23,54,46,7,71,2020-04-12 06:26:20,55.337310791015625,23.883544921875,world
68,hongkong,হংকং এসএআর,1001,4,336,27,0,11,2020-04-12 06:26:20,22.262653,114.198875,world
69,armenia,আর্মেনিয়া,967,13,173,24,2,30,2020-04-12 06:26:20,40.29264450073242,44.939476013183594,world
70,bosniaandherzegovina,বসনিয়া অ্যান্ড হার্জেগোভিনা,941,37,139,10,0,40,2020-04-12 06:26:20,44.16825485229492,17.785249710083008,world
71,kazakhstan,কাজাখস্তান,865,10,81,17,0,53,2020-04-12 06:26:20,48.16010665893555,67.26608276367188,world
72,cameroon,ক্যামেরুন,820,12,98,38,2,90,2020-04-12 06:26:20,5.697135925292969,12.74233627319336,world
73,puertorico,পুয়ের্তো রিকো,788,42,0,0,9,105,2020-04-12 06:26:20,18.22506332397461,-66.47891235351562,world
74,uzbekistan,উজবেকিস্তান,767,3,42,4,0,143,2020-04-12 06:26:20,41.763492584228516,63.15152359008789,world
75,northmacedonia,উত্তর ম্যাসেডোনিয়া,760,34,41,0,2,49,2020-04-12 06:26:20,41.6004638671875,21.700889587402344,world
76,slovakia,স্লোভাকিয়া,728,2,23,0,0,27,2020-04-12 06:26:20,48.70748519897461,19.48487663269043,world
77,tunisia,তিউনিসিয়া,685,28,43,18,3,14,2020-04-12 06:26:20,34.114462,9.571987,world
78,bulgaria,বুলগেরিয়া,661,28,62,8,4,37,2020-04-12 06:26:20,42.75708770751953,25.23870277404785,world
79,latvia,লাটভিয়া,630,3,16,0,1,18,2020-04-12 06:26:20,56.853981018066406,24.927459716796875,world
80,cuba,কিউবা,620,16,77,49,1,105,2020-04-12 06:26:20,21.610517501831055,-78.96027374267578,world
81,lebanon,লেবানন,619,20,77,10,0,10,2020-04-12 06:26:20,33.921445,35.893428,world
82,cyprus,সাইপ্রাস,606,10,58,0,0,21,2020-04-12 06:26:20,34.91740798950195,32.95891189575195,world
83,andorra,আন্ডোরা,601,26,71,13,1,18,2020-04-12 06:26:20,42.54530334472656,1.5762859582901,world
84,costarica,কোস্টা রিকা,577,3,49,19,0,38,2020-04-12 06:26:20,9.97483539581299,-84.1938552856445,world
85,afghanistan,আফগানিস্তান,555,18,32,0,3,34,2020-04-12 06:26:20,33.831138610839844,66.02471160888672,world
86,oman,ওমান,546,3,109,0,0,62,2020-04-12 06:26:20,20.569614,56.098076,world
87,uruguay,উরুগুয়ে,494,7,214,22,0,38,2020-04-12 06:26:20,-32.969738,-56.056064,world
88,bangladesh,বাংলাদেশ,482,30,36,3,3,58,2020-04-12 06:26:20,23.80488395690918,90.27921295166016,world
89,ctedivoire,আইভরি কোস্ট,480,3,54,2,0,36,2020-04-12 06:26:20,7.622841835021973,-5.552559852600098,world
90,burkinafaso,বুরকিনা ফাসো,448,26,159,13,2,5,2020-04-12 06:26:20,12.28544807434082,-1.7441790103912354,world
91,niger,নাইজার,438,11,41,1,0,28,2020-04-12 06:26:20,17.420581817626953,9.400392532348633,world
92,albania,আলবেনিয়া,433,23,197,15,0,17,2020-04-12 06:26:20,41.139286041259766,20.064313888549805,world
