,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
19,peru,পেরু,13489,274,0,0,0,0,2020-04-18 07:18:02,-9.171242713928223,-74.35688018798828,world
20,sweden,সুইডেন,13216,1400,0,0,0,0,2020-04-18 07:18:02,62.82179260253906,16.73538589477539,world
21,israel,ইজরায়েল,12982,151,3126,502,11,391,2020-04-18 07:18:02,31.0,35.0,world
22,southkorea,কোরিয়া,10653,232,7930,108,2,18,2020-04-18 07:18:02,36.45115661621094,127.86114501953125,world
23,japan,জাপান,9849,148,995,0,17,553,2020-04-18 07:18:02,36.65333557128906,137.981689453125,world
24,chile,চিলি,9252,116,0,0,0,0,2020-04-18 07:18:02,-35.23200607299805,-71.21882629394531,world
25,ecuador,ইকুয়েডর,8450,0,0,0,0,0,2020-04-18 07:18:02,-1.4655699729919434,-78.39720916748047,world
26,poland,পোল্যান্ড,8379,318,0,0,0,0,2020-04-18 07:18:02,52.1290397644043,19.393701553344727,world
27,romania,রোমানিয়া,8067,411,1508,151,19,360,2020-04-18 07:18:02,45.83913040161133,24.98465347290039,world
28,pakistan,পাকিস্তান,7476,132,1573,0,0,0,2020-04-18 07:18:02,29.354202270507812,68.80183410644531,world
29,denmark,ডেনমার্ক,7257,0,0,0,0,0,2020-04-18 07:18:02,56.26227569580078,9.336356163024902,world
30,saudiarabia,সৌদি আরব,7142,87,1049,118,8,1280,2020-04-18 07:18:02,24.124120712280273,44.55049514770508,world
31,norway,নরওয়ে,6992,0,0,0,0,96,2020-04-18 07:18:02,64.23892974853516,13.950632095336914,world
32,mexico,মেক্সিকো,6875,546,0,0,94,1005,2020-04-18 07:18:02,23.94062042236328,-102.52513885498047,world
33,australia,অস্ট্রেলিয়া,6560,69,4124,316,3,38,2020-04-18 07:18:02,-25.578937530517578,134.35971069335938,world
34,czechia,চেচিয়া,6549,0,0,0,0,0,2020-04-18 07:18:02,49.739105224609375,15.331500053405762,world
35,unitedarabemirates,সংযুক্ত আরব আমিরশাহী,6302,37,1188,93,2,477,2020-04-18 07:18:02,23.907182693481445,54.333534240722656,world
36,indonesia,ইন্দোনেশিয়া,5923,520,607,0,0,0,2020-04-18 07:18:02,-0.2101230025291443,113.99723052978516,world
37,philippines,ফিলিপাইন,5878,387,487,134,38,425,2020-04-18 07:18:02,15.948041915893555,121.42259979248047,world
38,serbia,সার্বিয়া,5690,110,534,91,7,372,2020-04-18 07:18:02,44.23085403442383,20.793766021728516,world
39,malaysia,মালয়েশিয়া,5251,86,2967,320,3,179,2020-04-18 07:18:02,3.6054680347442627,114.71072387695312,world
40,singapore,সিঙ্গাপুর,5050,11,708,24,1,623,2020-04-18 07:18:02,1.290179967880249,103.85198974609375,world
41,belarus,বেলারুশ,4779,42,342,139,2,575,2020-04-18 07:18:02,53.542198181152344,28.05012321472168,world
42,qatar,কাতার,4663,7,464,58,0,952,2020-04-18 07:18:02,25.28533172607422,51.19325256347656,world
43,ukraine,ইউক্রেন,4662,125,246,60,9,501,2020-04-18 07:18:02,49.16029357910156,31.278121948242188,world
44,panama,পানামা,4210,116,122,47,13,459,2020-04-18 07:18:02,8.531039237976074,-80.1344985961914,world
45,dominicanrepublic,ডমিনিকান রিপাবলিক,4126,196,215,0,0,0,2020-04-18 07:18:02,18.89733123779297,-70.49993896484375,world
46,finland,ফিনল্যান্ড,3489,82,1700,0,7,120,2020-04-18 07:18:02,64.51988983154297,26.282997131347656,world
47,luxembourg,লাক্সেমবার্গ,3480,72,579,27,3,36,2020-04-18 07:18:02,49.776824951171875,6.09234094619751,world
48,colombia,কলম্বিয়া,3439,153,613,182,22,331,2020-04-18 07:18:02,3.90644907951355,-73.07502746582031,world
49,egypt,ইজিপ্ট,2844,205,646,50,9,171,2020-04-18 07:18:02,26.57845687866211,29.77687644958496,world
50,southafrica,দক্ষিণ আফ্রিকা,2783,50,903,493,16,277,2020-04-18 07:18:02,-29.00231170654297,25.080322265625,world
51,argentina,আর্জেন্টিনা,2758,86,0,0,0,0,2020-04-18 07:18:02,-35.181148529052734,-65.09385681152344,world
52,thailand,থাইল্যান্ড,2733,47,1787,194,1,61,2020-04-18 07:18:02,15.1306734085083,101.01778411865234,world
53,morocco,মরোক্কো,2564,135,281,32,5,281,2020-04-18 07:18:02,31.841398239135742,-6.281309127807617,world
54,algeria,আলজেরিয়া,2418,364,846,138,28,258,2020-04-18 07:18:02,28.155088424682617,2.6787490844726562,world
55,moldova,মলডোভা,2264,55,276,41,2,110,2020-04-18 07:18:02,47.202144622802734,28.4654483795166,world
56,greece,গ্রীস,2224,108,269,0,6,32,2020-04-18 07:18:02,39.347442626953125,22.571271896362305,world
